"pair_id","patient_id","lnp_id","validation_group","fold"
"PAIR_00001","VP_159","LNP_0167","lnp_id",5
"PAIR_00002","VP_179","LNP_0101","lnp_id",2
"PAIR_00003","VP_014","LNP_0024","lnp_id",4
"PAIR_00004","VP_195","LNP_0081","lnp_id",2
"PAIR_00005","VP_170","LNP_0343","lnp_id",2
"PAIR_00006","VP_050","LNP_0341","lnp_id",5
"PAIR_00007","VP_118","LNP_0263","lnp_id",2
"PAIR_00008","VP_043","LNP_0439","lnp_id",1
"PAIR_00009","VP_014","LNP_0339","lnp_id",2
"PAIR_00010","VP_118","LNP_0217","lnp_id",4
"PAIR_00011","VP_153","LNP_0389","lnp_id",3
"PAIR_00012","VP_090","LNP_0472","lnp_id",1
"PAIR_00013","VP_091","LNP_0043","lnp_id",3
"PAIR_00014","VP_197","LNP_0352","lnp_id",4
"PAIR_00015","VP_091","LNP_0299","lnp_id",3
"PAIR_00016","VP_185","LNP_0102","lnp_id",3
"PAIR_00017","VP_092","LNP_0125","lnp_id",5
"PAIR_00018","VP_137","LNP_0129","lnp_id",3
"PAIR_00019","VP_099","LNP_0075","lnp_id",5
"PAIR_00020","VP_072","LNP_0255","lnp_id",4
"PAIR_00021","VP_026","LNP_0273","lnp_id",3
"PAIR_00022","VP_007","LNP_0218","lnp_id",3
"PAIR_00023","VP_170","LNP_0029","lnp_id",1
"PAIR_00024","VP_137","LNP_0476","lnp_id",1
"PAIR_00025","VP_164","LNP_0075","lnp_id",5
"PAIR_00026","VP_078","LNP_0043","lnp_id",3
"PAIR_00027","VP_081","LNP_0192","lnp_id",1
"PAIR_00028","VP_043","LNP_0147","lnp_id",1
"PAIR_00029","VP_103","LNP_0212","lnp_id",4
"PAIR_00030","VP_117","LNP_0276","lnp_id",5
"PAIR_00031","VP_076","LNP_0007","lnp_id",3
"PAIR_00032","VP_143","LNP_0074","lnp_id",2
"PAIR_00033","VP_032","LNP_0385","lnp_id",5
"PAIR_00034","VP_109","LNP_0380","lnp_id",5
"PAIR_00035","VP_007","LNP_0233","lnp_id",2
"PAIR_00036","VP_137","LNP_0311","lnp_id",1
"PAIR_00037","VP_169","LNP_0104","lnp_id",5
"PAIR_00038","VP_074","LNP_0111","lnp_id",4
"PAIR_00039","VP_023","LNP_0279","lnp_id",5
"PAIR_00040","VP_155","LNP_0470","lnp_id",4
"PAIR_00041","VP_188","LNP_0158","lnp_id",5
"PAIR_00042","VP_053","LNP_0265","lnp_id",3
"PAIR_00043","VP_135","LNP_0364","lnp_id",3
"PAIR_00044","VP_053","LNP_0409","lnp_id",5
"PAIR_00045","VP_155","LNP_0398","lnp_id",5
"PAIR_00046","VP_166","LNP_0087","lnp_id",2
"PAIR_00047","VP_034","LNP_0031","lnp_id",4
"PAIR_00048","VP_069","LNP_0261","lnp_id",1
"PAIR_00049","VP_072","LNP_0021","lnp_id",2
"PAIR_00050","VP_076","LNP_0320","lnp_id",2
"PAIR_00051","VP_063","LNP_0392","lnp_id",5
"PAIR_00052","VP_141","LNP_0346","lnp_id",3
"PAIR_00053","VP_097","LNP_0042","lnp_id",4
"PAIR_00054","VP_091","LNP_0357","lnp_id",2
"PAIR_00055","VP_153","LNP_0391","lnp_id",2
"PAIR_00056","VP_038","LNP_0113","lnp_id",3
"PAIR_00057","VP_021","LNP_0318","lnp_id",3
"PAIR_00058","VP_041","LNP_0011","lnp_id",5
"PAIR_00059","VP_175","LNP_0358","lnp_id",4
"PAIR_00060","VP_090","LNP_0196","lnp_id",2
"PAIR_00061","VP_060","LNP_0195","lnp_id",3
"PAIR_00062","VP_016","LNP_0251","lnp_id",3
"PAIR_00063","VP_116","LNP_0378","lnp_id",5
"PAIR_00064","VP_094","LNP_0162","lnp_id",2
"PAIR_00065","VP_006","LNP_0497","lnp_id",5
"PAIR_00066","VP_200","LNP_0358","lnp_id",4
"PAIR_00067","VP_086","LNP_0200","lnp_id",5
"PAIR_00068","VP_086","LNP_0194","lnp_id",4
"PAIR_00069","VP_039","LNP_0305","lnp_id",3
"PAIR_00070","VP_159","LNP_0387","lnp_id",2
"PAIR_00071","VP_118","LNP_0173","lnp_id",3
"PAIR_00072","VP_050","LNP_0089","lnp_id",2
"PAIR_00073","VP_034","LNP_0090","lnp_id",5
"PAIR_00074","VP_004","LNP_0444","lnp_id",3
"PAIR_00075","VP_013","LNP_0345","lnp_id",3
