"pt_id","day","time_group","clustnm","n_cells","fraction"
2047,0,"Day0_baseline","C0_CD4 T",2590,0.483931240657698
2047,0,"Day0_baseline","C10_Naive CD8 T",236,0.0440956651718984
2047,0,"Day0_baseline","C11_pDC",5,0.00093423019431988
2047,0,"Day0_baseline","C12_Tregs",11,0.00205530642750374
2047,0,"Day0_baseline","C13_cDC1",4,0.000747384155455904
2047,0,"Day0_baseline","C14_Plasmablasts",7,0.00130792227204783
2047,0,"Day0_baseline","C15_HPCs",9,0.00168161434977578
2047,0,"Day0_baseline","C16_NK T",12,0.00224215246636771
2047,0,"Day0_baseline","C17_Naive B",11,0.00205530642750374
2047,0,"Day0_baseline","C1_NK",529,0.0988415545590434
2047,0,"Day0_baseline","C2",7,0.00130792227204783
2047,0,"Day0_baseline","C3_CD14+ monocytes",954,0.178251121076233
2047,0,"Day0_baseline","C4_CD16+ monocytes",170,0.0317638266068759
2047,0,"Day0_baseline","C5_B",254,0.0474588938714499
2047,0,"Day0_baseline","C6_CD8 T",439,0.0820254110612855
2047,0,"Day0_baseline","C7_cDC2",65,0.0121449925261584
2047,0,"Day0_baseline","C8_CD14+BDCA1+PD-L1+ cells",1,0.000186846038863976
2047,0,"Day0_baseline","C9_Platelets",48,0.00896860986547085
2047,1,"Early_post_vaccination","C0_CD4 T",291,0.0802980132450331
2047,1,"Early_post_vaccination","C10_Naive CD8 T",43,0.0118653421633554
2047,1,"Early_post_vaccination","C11_pDC",71,0.0195916114790287
2047,1,"Early_post_vaccination","C12_Tregs",74,0.0204194260485651
2047,1,"Early_post_vaccination","C13_cDC1",18,0.00496688741721854
2047,1,"Early_post_vaccination","C14_Plasmablasts",23,0.00634657836644592
2047,1,"Early_post_vaccination","C15_HPCs",47,0.0129690949227373
2047,1,"Early_post_vaccination","C16_NK T",22,0.00607064017660044
2047,1,"Early_post_vaccination","C17_Naive B",1,0.000275938189845475
2047,1,"Early_post_vaccination","C1_NK",1757,0.484823399558499
2047,1,"Early_post_vaccination","C2",7,0.00193156732891832
2047,1,"Early_post_vaccination","C3_CD14+ monocytes",181,0.0499448123620309
2047,1,"Early_post_vaccination","C4_CD16+ monocytes",433,0.11948123620309
2047,1,"Early_post_vaccination","C5_B",35,0.00965783664459161
2047,1,"Early_post_vaccination","C6_CD8 T",93,0.0256622516556291
2047,1,"Early_post_vaccination","C7_cDC2",178,0.0491169977924945
2047,1,"Early_post_vaccination","C8_CD14+BDCA1+PD-L1+ cells",6,0.00165562913907285
2047,1,"Early_post_vaccination","C9_Platelets",344,0.0949227373068433
2047,2,"Early_post_vaccination","C0_CD4 T",1470,0.453983940704138
2047,2,"Early_post_vaccination","C10_Naive CD8 T",201,0.0620753551575046
2047,2,"Early_post_vaccination","C11_pDC",2,0.000617665225447807
2047,2,"Early_post_vaccination","C13_cDC1",2,0.000617665225447807
2047,2,"Early_post_vaccination","C14_Plasmablasts",12,0.00370599135268684
2047,2,"Early_post_vaccination","C15_HPCs",4,0.00123533045089561
2047,2,"Early_post_vaccination","C16_NK T",5,0.00154416306361952
2047,2,"Early_post_vaccination","C17_Naive B",2,0.000617665225447807
2047,2,"Early_post_vaccination","C1_NK",381,0.117665225447807
2047,2,"Early_post_vaccination","C2",14,0.00432365657813465
2047,2,"Early_post_vaccination","C3_CD14+ monocytes",483,0.149166151945645
2047,2,"Early_post_vaccination","C4_CD16+ monocytes",189,0.0583693638048178
2047,2,"Early_post_vaccination","C5_B",103,0.0318097591105621
2047,2,"Early_post_vaccination","C6_CD8 T",265,0.0818406423718345
2047,2,"Early_post_vaccination","C7_cDC2",36,0.0111179740580605
2047,2,"Early_post_vaccination","C8_CD14+BDCA1+PD-L1+ cells",6,0.00185299567634342
2047,2,"Early_post_vaccination","C9_Platelets",63,0.0194564546016059
2047,7,"Day7_post_vaccination","C0_CD4 T",1378,0.257618246401196
2047,7,"Day7_post_vaccination","C10_Naive CD8 T",185,0.0345859039072724
2047,7,"Day7_post_vaccination","C11_pDC",39,0.00729108244531688
2047,7,"Day7_post_vaccination","C12_Tregs",59,0.0110300990839409
2047,7,"Day7_post_vaccination","C13_cDC1",34,0.00635632828566087
2047,7,"Day7_post_vaccination","C14_Plasmablasts",32,0.00598242662179847
2047,7,"Day7_post_vaccination","C15_HPCs",47,0.0087866891007665
2047,7,"Day7_post_vaccination","C16_NK T",28,0.00523462329407366
2047,7,"Day7_post_vaccination","C17_Naive B",4,0.000747803327724808
2047,7,"Day7_post_vaccination","C1_NK",1552,0.290147691157226
2047,7,"Day7_post_vaccination","C2",10,0.00186950831931202
2047,7,"Day7_post_vaccination","C3_CD14+ monocytes",511,0.0955318751168443
2047,7,"Day7_post_vaccination","C4_CD16+ monocytes",543,0.101514301738643
2047,7,"Day7_post_vaccination","C5_B",102,0.0190689848569826
2047,7,"Day7_post_vaccination","C6_CD8 T",393,0.0734716769489624
2047,7,"Day7_post_vaccination","C7_cDC2",157,0.0293512806131987
2047,7,"Day7_post_vaccination","C8_CD14+BDCA1+PD-L1+ cells",1,0.000186950831931202
2047,7,"Day7_post_vaccination","C9_Platelets",274,0.0512245279491494
2047,21,"Day21","C0_CD4 T",1341,0.270909090909091
2047,21,"Day21","C10_Naive CD8 T",237,0.0478787878787879
2047,21,"Day21","C11_pDC",58,0.0117171717171717
2047,21,"Day21","C12_Tregs",36,0.00727272727272727
2047,21,"Day21","C13_cDC1",26,0.00525252525252525
2047,21,"Day21","C14_Plasmablasts",16,0.00323232323232323
2047,21,"Day21","C15_HPCs",57,0.0115151515151515
2047,21,"Day21","C16_NK T",22,0.00444444444444444
