"signature","time_group","post_mean","n_genes_found","baseline_mean","observed_activation_score","predicted_activation_score"
"adaptive_immunity","Day7_post_vaccination",3.84544418192209,10,3.95717370567748,-0.111729523755388,8.29922966488861
"adaptive_immunity","Early_post_vaccination",3.82532534950891,10,3.95717370567748,-0.13184835616857,8.29922966488861
"antigen_presentation","Day7_post_vaccination",6.10646483302056,10,6.0422653391123,0.0641994939082542,8.39629851052753
"antigen_presentation","Early_post_vaccination",6.27982930115713,10,6.0422653391123,0.237563962044828,8.39629851052753
"inflammatory_response","Day7_post_vaccination",2.48905966935163,10,2.6723670789984,-0.183307409646778,8.38921802925184
"inflammatory_response","Early_post_vaccination",2.7359510421883,10,2.6723670789984,0.0635839631898918,8.38921802925184
"interferon_response","Day7_post_vaccination",3.10912348109865,10,2.96694260556008,0.142180875538567,8.64546460029309
"interferon_response","Early_post_vaccination",3.93670549834845,10,2.96694260556008,0.969762892788371,8.64546460029309
"stress_response","Day7_post_vaccination",3.89904107299251,10,4.05308545824316,-0.154044385250648,7.94515391426905
"stress_response","Early_post_vaccination",4.04627168173336,10,4.05308545824316,-0.00681377650979353,7.94515391426905
