"day","signature","signature_label","mean_signature_score","baseline_mean","delta_vs_baseline","predicted_activation_score","observed_rank","predicted_rank"
1,"adaptive_immunity","Adaptive immunity",3.66509771531025,3.95717370567748,-0.292075990367223,8.29922966488861,5,4
1,"antigen_presentation","Antigen presentation",6.36023571986066,6.0422653391123,0.317970380748357,8.39629851052753,2,2
1,"inflammatory_response","Inflammatory response",2.43860590023753,2.6723670789984,-0.233761178760872,8.38921802925184,4,3
1,"interferon_response","Interferon response",3.93538753573514,2.96694260556008,0.968444930175064,8.64546460029309,1,1
1,"stress_response","Stress response",3.88097027958253,4.05308545824316,-0.172115178660623,7.94515391426905,3,5
2,"adaptive_immunity","Adaptive immunity",3.90543916660823,3.95717370567748,-0.051734539069245,8.29922966488861,5,4
2,"antigen_presentation","Antigen presentation",6.23962609180537,6.0422653391123,0.197360752693063,8.39629851052753,3,2
2,"inflammatory_response","Inflammatory response",2.88462361316368,2.6723670789984,0.212256534165273,8.38921802925184,2,3
2,"interferon_response","Interferon response",3.93736447965511,2.96694260556008,0.970421874095033,8.64546460029309,1,1
2,"stress_response","Stress response",4.12892238280878,4.05308545824316,0.0758369245656239,7.94515391426905,4,5
7,"adaptive_immunity","Adaptive immunity",3.84544418192209,3.95717370567748,-0.111729523755387,8.29922966488861,3,4
7,"antigen_presentation","Antigen presentation",6.10646483302056,6.0422653391123,0.0641994939082533,8.39629851052753,2,2
7,"inflammatory_response","Inflammatory response",2.48905966935163,2.6723670789984,-0.183307409646778,8.38921802925184,5,3
7,"interferon_response","Interferon response",3.10912348109864,2.96694260556008,0.142180875538568,8.64546460029309,1,1
7,"stress_response","Stress response",3.89904107299251,4.05308545824316,-0.154044385250646,7.94515391426905,4,5
21,"adaptive_immunity","Adaptive immunity",3.92705380680403,3.95717370567748,-0.0301198988734468,8.29922966488861,3,4
21,"antigen_presentation","Antigen presentation",6.05115336476713,6.0422653391123,0.00888802565482827,8.39629851052753,1,2
21,"inflammatory_response","Inflammatory response",2.54636084456106,2.6723670789984,-0.126006234437342,8.38921802925184,4,3
21,"interferon_response","Interferon response",2.93940443451418,2.96694260556008,-0.0275381710458968,8.64546460029309,2,1
21,"stress_response","Stress response",3.85840114958905,4.05308545824316,-0.194684308654108,7.94515391426905,5,5
22,"adaptive_immunity","Adaptive immunity",3.6837402572631,3.95717370567748,-0.273433448414375,8.29922966488861,5,4
22,"antigen_presentation","Antigen presentation",6.50849389555638,6.0422653391123,0.466228556444072,8.39629851052753,3,2
22,"inflammatory_response","Inflammatory response",3.41440908316337,2.6723670789984,0.742042004164967,8.38921802925184,2,3
22,"interferon_response","Interferon response",3.99578503557079,2.96694260556008,1.02884243001071,8.64546460029309,1,1
22,"stress_response","Stress response",4.06513471409704,4.05308545824316,0.0120492558538805,7.94515391426905,4,5
28,"adaptive_immunity","Adaptive immunity",3.93531873979319,3.95717370567748,-0.0218549658842915,8.29922966488861,5,4
28,"antigen_presentation","Antigen presentation",6.277567770321,6.0422653391123,0.235302431208692,8.39629851052753,3,2
28,"inflammatory_response","Inflammatory response",3.09829347044119,2.6723670789984,0.425926391442785,8.38921802925184,2,3
28,"interferon_response","Interferon response",3.410016079279,2.96694260556008,0.443073473718929,8.64546460029309,1,1
28,"stress_response","Stress response",4.12821523066878,4.05308545824316,0.0751297724256199,7.94515391426905,4,5
42,"adaptive_immunity","Adaptive immunity",3.77960028804535,3.95717370567748,-0.177573417632125,8.29922966488861,5,4
42,"antigen_presentation","Antigen presentation",6.07933548674572,6.0422653391123,0.0370701476334139,8.39629851052753,3,2
42,"inflammatory_response","Inflammatory response",2.92408846906634,2.6723670789984,0.251721390067935,8.38921802925184,1,3
42,"interferon_response","Interferon response",3.03382066593799,2.96694260556008,0.0668780603779098,8.64546460029309,2,1
42,"stress_response","Stress response",4.07045277062869,4.05308545824316,0.01736731238553,7.94515391426905,4,5
