"lnp_id","original_score","original_rank","median_rank","min_rank","max_rank","top1_frequency","top10_frequency","top20_frequency","median_score","min_score","max_score"
"LNP_0462",0.833991523242452,1,2,1,14,0.399896800825593,0.998452012383901,1,0.828675952788798,0.686871331098827,0.907528156093678
"LNP_0428",0.832007065094428,2,3,1,38,0.206140350877193,0.931888544891641,0.99406604747162,0.822199153856831,0.68199574958178,0.916403799640723
"LNP_0449",0.822608856044919,3,5,2,33,0,0.875386996904025,0.980134158926729,0.816021019730863,0.682162467262141,0.896374777766923
"LNP_0007",0.819276448739016,4,6,1,39,0.0178018575851393,0.851909184726522,0.97781217750258,0.814153096382161,0.658431111208227,0.915803103909226
"LNP_0419",0.817815931877039,5,7,1,62,0.00309597523219814,0.630288957688338,0.873323013415893,0.804869699923729,0.668998430871238,0.905364975213424
"LNP_0109",0.814701475497078,6,7,1,114,0.178792569659443,0.599071207430341,0.763415892672859,0.799149151448057,0.720921804375513,0.885840892674046
"LNP_0364",0.814561321482523,7,6,2,27,0,0.969040247678019,0.998452012383901,0.814643192958033,0.661599337934468,0.915086794813228
"LNP_0374",0.812139564838826,8,8,1,76,0.010577915376677,0.624355005159959,0.895768833849329,0.807724388714205,0.623670969028748,0.912985209143013
"LNP_0017",0.803656257283718,9,8,2,22,0,0.808823529411765,0.998452012383901,0.806173916210137,0.684478277046197,0.894811724846123
"LNP_0442",0.800625895492876,10,9,1,28,0.105521155830753,0.594169246646027,0.979618163054696,0.804505872906354,0.66054844640202,0.935835064147027
"LNP_0467",0.799835849573105,11,13,7,93,0,0.273219814241486,0.876418988648091,0.794473832429239,0.655949310699369,0.888183640885932
"LNP_0180",0.799514234702886,12,11,6,19,0,0.483488132094943,1,0.800924438575848,0.674497104192946,0.885963978388006
"LNP_0079",0.797945107235541,13,14,8,95,0,0.165118679050568,0.813467492260062,0.79239047097239,0.651794542702024,0.871574696275037
"LNP_0466",0.790927867201161,14,21,7,156,0,0.0709494324045408,0.494324045407637,0.781561037722415,0.62359319805381,0.878864319298513
"LNP_0221",0.789858155988326,15,16.5,11,35,0,0,0.874355005159959,0.790593548878061,0.657783494811606,0.8513061542862
"LNP_0199",0.788928181652388,16,13,1,41,0.0781733746130031,0.405056759545924,0.720588235294118,0.79407930868227,0.722123528658107,0.861027676618231
"LNP_0010",0.785430548896069,17,19,6,98,0,0.186274509803922,0.563467492260062,0.777990713266671,0.683601371852646,0.840956647897837
"LNP_0140",0.784404678080085,18,21,11,74,0,0,0.457946336429309,0.782281425221514,0.623867471613206,0.854476607352353
"LNP_0141",0.783170496031408,19,27,8,213,0,0.0392156862745098,0.29437564499484,0.770539045403692,0.611170934575458,0.880117102494029
"LNP_0186",0.782366807979772,20,21,13,94,0,0,0.465428276573787,0.780702898395723,0.631114075623436,0.880014403877587
"LNP_0025",0.780670614476418,21,16,5,37,0,0.200722394220846,0.685758513931889,0.785418676401041,0.664182637915692,0.912425410059024
"LNP_0370",0.779960424480275,22,23,9,123,0,0.00490196078431373,0.359133126934985,0.777288227340054,0.607252798208174,0.889214762666702
"LNP_0210",0.77730742558996,23,20,7,38,0,0.03328173374613,0.538699690402477,0.782856291365392,0.67029673381168,0.862825957292527
"LNP_0427",0.776005073811655,24,24,13,105,0,0,0.352167182662539,0.767250785664684,0.659861685585557,0.839852974038708
"LNP_0255",0.774907509413103,25,26,16,136,0,0,0.124613003095975,0.772116880884029,0.630731821597605,0.875417098167326
"LNP_0245",0.765753090380572,26,30,15,134,0,0,0.147316821465428,0.753972899892793,0.663362501435666,0.830643611851487
"LNP_0476",0.76546025502147,27,40,11,286,0,0,0.096749226006192,0.745432298289801,0.611268203640659,0.866868899920553
"LNP_0091",0.760537627557922,28,29,11,74,0,0,0.146284829721362,0.763763011546583,0.642723834514065,0.895020940572838
"LNP_0346",0.759800871619537,29,35,12,182,0,0,0.174148606811146,0.74382057000355,0.642860306370632,0.834251013586294
"LNP_0307",0.758182112072055,30,25,2,54,0,0.106553147574819,0.364293085655315,0.764921850174489,0.652293593322692,0.92876410533221
"LNP_0479",0.755562619628904,31,38,24,111,0,0,0,0.748828604477451,0.637558616389267,0.814433783636432
"LNP_0196",0.755424622550043,32,38,22,215,0,0,0,0.750340271035857,0.585816836261615,0.83842724226633
"LNP_0133",0.755172109119279,33,30,17,52,0,0,0.0526315789473684,0.761126919745531,0.639934452350524,0.880874938637313
"LNP_0124",0.754392054356999,34,36,22,78,0,0,0,0.756494449481838,0.638608735888266,0.795248584358333
"LNP_0414",0.749853609740418,35,42,21,258,0,0,0,0.744802728375331,0.559350262211256,0.842109945318234
"LNP_0361",0.749767303255298,36,32,20,50,0,0,0.000515995872033024,0.757869728221129,0.647265906716165,0.841095456997332
"LNP_0066",0.748287014221568,37,52,10,304,0,0.000257997936016512,0.0268317853457172,0.72691287435311,0.586103192628719,0.848746001130076
"LNP_0387",0.747699037872364,38,34,17,53,0,0,0.0118679050567595,0.756878313874151,0.642754476003731,0.840104704858232
"LNP_0208",0.745707886348224,39,41,30,127,0,0,0,0.748642190851516,0.605485164962823,0.793576368307754
"LNP_0480",0.744826213953719,40,32,4,65,0,0.0379256965944272,0.198400412796698,0.754264312307439,0.684146970936985,0.833210906172461
"LNP_0080",0.744065648454425,41,29,2,75,0,0.0719814241486068,0.278379772961816,0.7548906584071,0.651360732092648,0.923829079463642
"LNP_0437",0.742763784366182,42,38,8,61,0,0.00386996904024768,0.115325077399381,0.748927053744683,0.633197631328391,0.906252148345227
"LNP_0423",0.741331353828793,43,45,27,117,0,0,0,0.743835879784123,0.606562508328248,0.787023356094971
"LNP_0343",0.740155856408216,44,48,32,264,0,0,0,0.733099907811382,0.599962449621313,0.809441819632237
"LNP_0497",0.738857088087325,45,56,24,307,0,0,0,0.721317549959468,0.583030374677164,0.834103806183921
"LNP_0192",0.737751455472889,46,57,21,303,0,0,0,0.721057273717953,0.561927423759473,0.84025350182997
"LNP_0494",0.731650744208098,47,41,18,76,0,0,0.0162538699690402,0.741290927152558,0.666280433957965,0.813719497405306
"LNP_0406",0.729450282236532,48,41.5,17,87,0,0,0.00619195046439629,0.736211485156608,0.659056280632866,0.851578889518272
"LNP_0160",0.724404451452643,49,54,40,137,0,0,0,0.728464872572038,0.601640151070094,0.761263516208901
"LNP_0335",0.723246909171245,50,68,31,311,0,0,0,0.70645103631473,0.584190054203828,0.806783152288236
"LNP_0127",0.722928474587943,51,53,3,164,0,0.020639834881321,0.0748194014447884,0.722293284669832,0.663291575008577,0.775288913211673
"LNP_0056",0.72231257029354,52,56,34,266,0,0,0,0.721633150827171,0.578905115349213,0.822970149308348
"LNP_0339",0.722239001241347,53,53,9,148,0,0.00232198142414861,0.0356037151702786,0.72256671659164,0.676342206862934,0.774659111854733
"LNP_0228",0.722187758096881,54,61,35,301,0,0,0,0.715649162544821,0.560174947042479,0.793267765950266
"LNP_0415",0.71990010781696,55,59,40,141,0,0,0,0.716912833205888,0.605148207782208,0.768250681101123
"LNP_0153",0.719434557165393,56,47,16,89,0,0,0.00361197110423117,0.728264026065615,0.658373314731841,0.822919738741916
"LNP_0333",0.716147028576032,57,46,15,93,0,0,0.0319917440660475,0.729333785698421,0.635748805319354,0.888921466553214
