"lnp_id","size_nm","charge_mV","peg_mol_percent","ionizable_lipid_fraction","cholesterol_fraction","helper_lipid_fraction","targeting_ligand","n_records","mean_safety_score","sd_safety_score","mean_delivery","mean_adaptive_activation","mean_innate_activation","mean_cytokine_burden","mean_off_target_activation","sbd_rank","pareto_optimal"
"LNP_0462",93.6129996087402,-1.00800178479403,0.399105833750218,0.477647912702742,0.431320381918687,0.091031705378571,1,200,0.832594012748661,0.0364754411135041,3.07083378547233,4.26025531345435,1.47477417522785,1.57297564331146,0.509090203096148,1,TRUE
"LNP_0428",88.8204663759097,1.09363658819348,0.493633543048054,0.376300626226774,0.427976831045156,0.19572254272807,1,200,0.82576198031958,0.0377487990291161,3.09940269044178,4.30747835632731,1.49714377682436,1.82646769943265,0.561737594241675,2,TRUE
"LNP_0374",95.510805095546,0.547898812219501,0.345423847343773,0.515114624393842,0.400721801172917,0.0841635744332413,1,200,0.824679056390691,0.0389911978611578,3.03663054941978,4.2511119813628,1.53255431108287,1.74148108406529,0.28385716213646,3,TRUE
"LNP_0007",102.8105488047,0.721074412576854,0.409476848971099,0.504653408404807,0.345283777949371,0.150062813645822,1,200,0.816538856432173,0.0368876049594102,2.98013390402123,4.20389284869928,1.51129837776133,1.75505978790355,0.375816856863246,4,TRUE
"LNP_0449",85.8056963421404,-1.6948509356007,0.30026867967099,0.598698499676246,0.342006278828472,0.0592952214952825,1,200,0.812950907682577,0.0401257287248117,3.02096309087241,4.2501287962501,1.53408896751547,1.62543610274171,0.85544439376995,5,FALSE
"LNP_0364",80.8119554305449,-0.627616751007736,0.274638611916453,0.517230525633537,0.391734283551729,0.0910351908147338,1,200,0.81248332344916,0.0390549861606612,2.93171910238469,4.1494924812134,1.53978087118321,1.63965648747875,0.334533817380276,6,TRUE
"LNP_0419",97.8456383803859,-2.32126656919718,0.40911775957793,0.516176699840256,0.345445278826466,0.138378021333278,1,200,0.810994655804327,0.0369028445653152,2.99908674704447,4.23524749336108,1.4568491364805,1.54673812987953,1.17590847075589,7,TRUE
"LNP_0467",73.0096920393407,0.965611478313804,0.46767194615677,0.492253285244461,0.29697368353357,0.210773031221969,1,200,0.80429707143156,0.039822403425578,2.91156075071996,4.13635480262845,1.50921171875192,1.78671860741946,0.47199340828595,8,TRUE
"LNP_0442",108.387233596295,-0.195516035892069,0.345106361154467,0.468929058018287,0.331895852477489,0.199175089504224,1,200,0.803500383614895,0.038080630757585,2.77643501359745,4.01147738370024,1.48959525295625,1.57466611609212,0.133659214155945,9,TRUE
"LNP_0466",77.077801944688,1.38886549510062,0.445512916892767,0.526246112429754,0.380303940182633,0.0934499473876125,1,200,0.802687550902703,0.035910135557036,3.00441422493092,4.23174101332,1.55456789921557,1.93778468172842,0.700653278018333,10,FALSE
"LNP_0109",91.0689776530489,-3.3800434274599,0.480289639346302,0.466218533053709,0.394831297601722,0.138950169344569,1,200,0.800521674909667,0.0412761803244263,2.99077952961792,4.20228929809727,1.40942131727737,1.52889947892859,1.69154061882615,11,TRUE
"LNP_0017",74.608773435466,-0.90476737357676,0.323866031691432,0.406530058160932,0.458583185003285,0.134886756835784,1,200,0.794699869404868,0.0380644188037061,2.77913052760525,4.02205404060661,1.5030164787193,1.58907927134284,0.460042702234453,12,TRUE
"LNP_0140",93.9431536244228,-1.64445796515793,0.203858428541571,0.537716976281056,0.345643035436697,0.116639988282247,1,200,0.792797607903289,0.0384322213180585,2.90478968881461,4.132350054976,1.58206660604286,1.67214505517353,0.833740172283362,13,FALSE
"LNP_0180",108.175009978004,-1.03713772259653,0.353958562016487,0.445144173552853,0.43156519854507,0.123290627902077,1,200,0.790201050212456,0.0399136423380452,2.76129220425408,4.0000099902548,1.50256581321552,1.60781141756686,0.515221912072967,14,FALSE
"LNP_0141",81.170220207423,1.87676986213773,0.432716127112508,0.438773974181599,0.454307172924857,0.106918852893543,1,200,0.789913995701953,0.039538921501545,2.98920052614017,4.2147486536328,1.57774463023149,2.02622992234172,0.947211839080861,15,FALSE
"LNP_0025",115.570579911582,0.376098467968404,0.424494939856231,0.58258254117628,0.297731865694883,0.119685593128837,1,200,0.784630813398282,0.0369206201559654,2.65414237808808,3.90645275223831,1.47931988696052,1.6545897294338,0.197063812150435,16,TRUE
"LNP_0221",78.2528330106288,-1.62661683280021,0.238268989697099,0.52649488791667,0.287770801388292,0.185734310695038,1,200,0.784253869315762,0.0392263729804899,2.81361876579997,4.04386427460946,1.55978763469178,1.62899202042339,0.820801532809909,17,FALSE
"LNP_0079",85.1797909243032,1.33468165528029,0.267945685982704,0.430720612426444,0.460881131679279,0.108398255894277,1,200,0.782152087348746,0.0378878027102021,2.91256812610096,4.12927739070861,1.64845422906751,1.98747103400544,0.663220940206784,18,FALSE
"LNP_0199",65.2346616843715,-1.42773817293346,0.487420371174812,0.499189116605839,0.349672881561079,0.151138001833082,1,200,0.781035207234593,0.0382383726378848,2.66044706245919,3.8963570382494,1.41452260881073,1.52009489762793,0.734886395961359,19,TRUE
"LNP_0370",98.3167669270188,0.960645750164986,0.171623823884875,0.523827971201285,0.368251794149631,0.107920234649084,1,200,0.779130245215637,0.0407018288336757,2.85294098918766,4.09533101910618,1.6798793179303,1.93155397619904,0.481882910241388,20,FALSE
"LNP_0091",63.0695691565052,0.531801590695977,0.422499176114798,0.570619913598039,0.292134981431764,0.137245104970197,1,200,0.77250229243987,0.0395326699326175,2.59064522093897,3.85288237427672,1.4868455691787,1.70626044679012,0.272855537363867,21,FALSE
"LNP_0186",98.1289800489321,1.01233443710953,0.153998559340835,0.463687385701895,0.33033774675965,0.205974867538455,1,200,0.771749238790953,0.0396432240632334,2.80992832662561,4.05822224512523,1.68508938306609,1.95644898920108,0.510827981798616,22,FALSE
